 Structure from AMSCIFDB, AMS_ID: 11314         Feff8L (EXAFS)       0.1
 Mineral Name: Wustite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  rocksalt structure
 Formula:    FeO
 SpaceGroup: Fm-3m
 # sites:    2
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.377 Rnm= 1.436 K  shell
 Pot 1 Z=26 Rmt= 1.384 Rnm= 1.444
 Pot 2 Z= 8 Rmt= 1.015 Rnm= 1.060
 Pot 3 Z=82 Rmt= 1.418 Rnm= 1.486
 Gam_ch=1.309E+00 H-L exch
 Mu=-3.054E+00 kf=2.208E+00 Vint=-2.162E+01 Rs_int= 1.643
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2  11.000   3.0482    2.4471   -3.05423 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     2.1554   -2.1554   -0.0000  1  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.0012E+00  9.4252E-06 -1.6396E+00  1.008E+00  2.5708E+01  2.2080E+00
  0.100  3.0008E+00  2.4608E-02 -2.2372E+00  1.008E+00  2.5733E+01  2.2102E+00
  0.200  2.9994E+00  4.8874E-02 -2.8115E+00  1.008E+00  2.5806E+01  2.2167E+00
  0.300  2.9972E+00  7.2473E-02 -3.3625E+00  1.008E+00  2.5919E+01  2.2275E+00
  0.400  2.9941E+00  9.5107E-02 -3.8902E+00  1.008E+00  2.6061E+01  2.2424E+00
  0.500  2.9900E+00  1.1652E-01 -4.3948E+00  1.008E+00  2.6215E+01  2.2616E+00
  0.600  2.9850E+00  1.3648E-01 -4.8768E+00  1.009E+00  2.6361E+01  2.2848E+00
  0.700  2.9789E+00  1.5482E-01 -5.3363E+00  1.009E+00  2.6476E+01  2.3119E+00
  0.800  2.9718E+00  1.7141E-01 -5.7736E+00  1.009E+00  2.6537E+01  2.3429E+00
  0.900  2.9635E+00  1.8612E-01 -6.1892E+00  1.009E+00  2.6518E+01  2.3775E+00
  1.000  2.9539E+00  1.9889E-01 -6.5831E+00  1.010E+00  2.6399E+01  2.4158E+00
  1.100  2.9431E+00  2.0964E-01 -6.9557E+00  1.010E+00  2.6163E+01  2.4575E+00
  1.200  2.9309E+00  2.1832E-01 -7.3070E+00  1.011E+00  2.5802E+01  2.5026E+00
  1.300  2.9172E+00  2.2486E-01 -7.6369E+00  1.012E+00  2.5313E+01  2.5510E+00
  1.400  2.9018E+00  2.2923E-01 -7.9452E+00  1.013E+00  2.4704E+01  2.6026E+00
  1.500  2.8847E+00  2.3139E-01 -8.2312E+00  1.015E+00  2.3992E+01  2.6572E+00
